VehicleID,FoodTypeID,RawCropsID,Country_ID,Periodical Unit,Volume,UnitID,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data
1,8,2,1,Annual,0,1,20-Jul,21-Jun,16-Oct-24,N/A,N/A,N/A
1,8,2,1,Annual,0,1,21-Jul,22-Jun,16-Oct-24,N/A,N/A,N/A
1,8,2,1,Annual,0,1,22-Jul,23-Jun,17-Oct-24,N/A,N/A,N/A
1,9,2,1,Annual,0,1,20-Jul,21-Jun,16-Oct-24,N/A,N/A,N/A
1,9,2,1,Annual,0,1,21-Jul,22-Jun,16-Oct-24,N/A,N/A,N/A
1,9,2,1,Annual,0,1,22-Jul,23-Jun,17-Oct-24,N/A,N/A,N/A
1,10,2,1,Annual,0,1,20-Jul,21-Jun,16-Oct-24,N/A,N/A,N/A
1,10,2,1,Annual,0,1,21-Jul,22-Jun,16-Oct-24,N/A,N/A,N/A
1,10,2,1,Annual,0,1,22-Jul,23-Jun,16-Oct-24,N/A,N/A,N/A
1,4,2,1,Annual,0,1,20-Jul,21-Jun,16-Oct-24,N/A,N/A,N/A
1,4,2,1,Annual,0,1,21-Jul,22-Jun,16-Oct-24,N/A,N/A,N/A
1,4,2,1,Annual,0,1,22-Jul,23-Jun,16-Oct-24,N/A,N/A,N/A
1,7,2,1,Annual,0,1,21-Jul,22-Jun,17-Oct-24,N/A,N/A,N/A
1,7,2,1,Annual,0,1,22-Jul,23-Jun,18-Oct-24,N/A,N/A,N/A
1,7,2,1,Annual,0,1,22-Jul,23-Jul,19-Oct-24,N/A,N/A,N/A
1,6,2,1,Annual,0,1,21-Jul,22-Jun,19-Oct-24,N/A,N/A,N/A
1,6,2,1,Annual,0,1,22-Jul,23-Jun,19-Oct-24,N/A,N/A,N/A
1,6,2,1,Annual,0,1,22-Jul,23-Jul,19-Oct-24,N/A,N/A,N/A
